date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:37:28	3299/3299	---M--	200	added ('OK')	image/png	etag:%221afb11090bdca402bf7b215d52aa2b12%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/12185636/France-Television.png	./wp-content/uploads/2018/05/12185636/France-Television.png	(from http://2018.outdor.fr/)
10:37:29	3787/3787	---M--	200	added ('OK')	image/png	etag:%22bb5f0824850096b5658fac58dac53664%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/12185638/Radio-France.png	./wp-content/uploads/2018/05/12185638/Radio-France.png	(from http://2018.outdor.fr/)
10:37:29	4647/4647	---M--	200	added ('OK')	image/png	etag:%2244a266221f1848800b1959d0e87aec07%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/12185637/Lib%c3%a9.png	./wp-content/uploads/2018/05/12185637/Lib%c3%a9.png	(from http://2018.outdor.fr/)
10:37:42	77468/77468	---M--	200	added ('OK')	image/jpeg	etag:%22a525012dabc4fd02bfd23762b93709d0%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/25081628/Komitid_logo_complet_HD.jpg	./wp-content/uploads/2018/05/25081628/Komitid_logo_complet_HD.jpg	(from http://2018.outdor.fr/)
10:37:42	4308/4308	---M--	200	added ('OK')	text/css	etag:%2210d4-56f03550c2e80%22	http://2018.outdor.fr/wp-content/plugins/justified-gallery/includes/Lightbox/Swipebox/assets/css/swipebox.min.css?ver=1.3.1	./wp-content/plugins/justified-gallery/includes/Lightbox/Swipebox/assets/css/swipebox.mine7f0.css	(from http://2018.outdor.fr/)
10:37:43	176832/176832	---M--	200	added ('OK')	image/png	etag:%2264d19dea593b339378f1d7af08cb75ab%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/12185634/VIOLET.png	./wp-content/uploads/2018/05/12185634/VIOLET.png	(from http://2018.outdor.fr/)
10:37:43	1398/1398	---M--	200	added ('OK')	application/javascript	etag:%22576-56f03550c2e80%22	http://2018.outdor.fr/wp-includes/js/wp-embed.min.js?ver=4.9.6	./wp-includes/js/wp-embed.min1845.js	(from http://2018.outdor.fr/)
10:37:45	12959/12959	---M--	200	added ('OK')	application/javascript	etag:%22329f-56f03550c2e80%22	http://2018.outdor.fr/wp-content/plugins/justified-gallery/includes/Lightbox/Swipebox/assets/js/jquery.swipebox.min.js?ver=1.3.1	./wp-content/plugins/justified-gallery/includes/Lightbox/Swipebox/assets/js/jquery.swipebox.mine7f0.js	(from http://2018.outdor.fr/)
10:37:46	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2016%20Jan%202020%2009:37:45%20GMT	http://d2gde5ic41h9mc.cloudfront.net/robots.txt		(from )
10:37:50	20866/20866	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:37:47%20GMT	http://2018.outdor.fr/la-remise-des-prix/	./la-remise-des-prix/index.html	(from http://2018.outdor.fr/)
10:38:01	106614/106614	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:37:50%20GMT	http://2018.outdor.fr/les-categories-recompensees/	./les-categories-recompensees/index.html	(from http://2018.outdor.fr/)
10:38:04	21155/21155	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:38:01%20GMT	http://2018.outdor.fr/coming-out/	./coming-out/index.html	(from http://2018.outdor.fr/)
10:38:06	19013/19013	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:38:04%20GMT	http://2018.outdor.fr/dire-les-choses-clairement-cest-moins-fatigant/	./dire-les-choses-clairement-cest-moins-fatigant/index.html	(from http://2018.outdor.fr/)
10:38:10	253360/253360	---M--	200	added ('OK')	image/png	etag:%22616ca6324386bfbb937c4a00a561c5d6%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/12185634/15aine-des-fietes.png	./wp-content/uploads/2018/05/12185634/15aine-des-fietes.png	(from http://2018.outdor.fr/)
10:38:16	21149/21149	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:38:07%20GMT	http://2018.outdor.fr/pourquoi-les-out-dor/	./pourquoi-les-out-dor/index.html	(from http://2018.outdor.fr/)
10:38:16	130/130	---MC-	400	error ('Bad%20Request')	application/json	date:Thu,%2016%20Jan%202020%2009:38:15%20GMT	http://2018.outdor.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2F2018.outdor.fr%2Fles-laureat%25c2%25b7e%25c2%25b7s-2018%2F	./wp-json/oembed/1.0/embed.1d134f.delayed	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:38:17	130/130	---MC-	400	error ('Bad%20Request')	application/json	date:Thu,%2016%20Jan%202020%2009:38:17%20GMT	http://2018.outdor.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2F2018.outdor.fr%2Fles-laureat%25c2%25b7e%25c2%25b7s-2018%2F&format=xml	./wp-json/oembed/1.0/embed1781	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
